Date,Open,High,Low,Close
12/13/2023,"366.02","370.95","365.24","370.90"
12/12/2023,"364.42","365.96","363.73","365.78"
12/11/2023,"362.54","364.16","362.31","364.05"
12/08/2023,"360.85","362.96","360.62","362.48"
12/07/2023,"361.24","361.64","360.22","361.17"
12/06/2023,"361.84","362.93","360.24","360.54"
12/05/2023,"361.36","361.65","360.11","361.25"
12/04/2023,"360.89","362.38","360.30","362.04"
12/01/2023,"359.14","362.65","359.14","362.46"
11/30/2023,"355.97","359.71","355.92","359.51"
11/29/2023,"354.37","355.79","354.06","354.30"
11/28/2023,"353.32","355.19","353.08","354.17"
11/27/2023,"353.76","354.10","352.81","353.33"
11/24/2023,"353.00","353.99","353.00","353.90"
11/23/2023,"351.89","353.15","351.56","352.73"
11/22/2023,"351.89","353.15","351.56","352.73"
11/21/2023,"351.05","351.18","350.38","350.88"
11/20/2023,"349.32","352.27","349.08","351.51"
11/17/2023,"349.65","350.28","348.83","349.47"
11/16/2023,"348.68","350.22","348.18","349.45"
11/15/2023,"349.07","350.51","348.68","349.91"
11/14/2023,"345.81","349.31","345.81","348.28"
11/13/2023,"342.59","344.06","342.06","343.38"
11/10/2023,"340.21","343.10","339.06","342.83"
11/09/2023,"341.64","341.68","338.60","338.92"
11/08/2023,"341.86","342.53","339.96","341.12"
11/07/2023,"340.76","342.07","340.27","341.53"
11/06/2023,"340.93","341.67","339.90","340.96"
11/03/2023,"339.89","341.64","339.47","340.61"
11/02/2023,"334.58","338.53","334.50","338.39"
11/01/2023,"330.82","333.37","330.11","332.75"
10/31/2023,"330.29","330.70","327.87","330.53"
10/30/2023,"325.38","330.03","325.38","329.29"
10/27/2023,"327.82","327.88","323.27","324.18"
10/26/2023,"330.17","331.05","327.44","327.84"
10/25/2023,"332.04","332.68","329.90","330.36"
10/24/2023,"330.90","332.72","329.88","331.41"
10/23/2023,"329.93","332.35","328.92","329.36"
10/20/2023,"333.65","334.26","331.18","331.27"
10/19/2023,"336.70","338.52","333.69","334.14"
10/18/2023,"339.60","339.92","335.99","336.65"
10/17/2023,"338.70","341.48","338.55","339.98"
10/16/2023,"338.32","340.89","338.32","339.85"
10/13/2023,"337.33","339.58","335.52","336.70"
10/12/2023,"338.46","338.64","334.56","336.31"
10/11/2023,"338.22","338.83","336.12","338.05"
10/10/2023,"336.83","338.98","336.04","337.39"
10/09/2023,"332.60","336.32","332.54","336.05"
10/06/2023,"330.41","335.58","328.47","334.08"
10/05/2023,"330.99","331.74","329.42","331.20"
10/04/2023,"330.34","331.56","328.73","331.30"
10/03/2023,"333.19","333.99","329.16","330.02"
10/02/2023,"334.56","335.12","332.20","334.33"
09/29/2023,"338.83","338.94","334.07","335.08"
09/28/2023,"335.19","337.78","334.74","336.66"
09/27/2023,"336.83","337.32","333.06","335.50"
09/26/2023,"338.63","338.80","335.70","336.19"
09/25/2023,"339.08","340.18","337.81","340.07"
09/22/2023,"340.77","341.56","339.47","339.64"
09/21/2023,"343.32","343.78","340.59","340.70"
09/20/2023,"345.76","347.76","344.34","344.41"
09/19/2023,"345.72","345.98","343.12","345.18"
09/18/2023,"346.12","347.25","345.45","346.24"
09/15/2023,"349.02","349.02","345.72","346.18"
09/14/2023,"346.88","349.78","346.88","349.07"
09/13/2023,"346.67","347.67","345.10","345.76"
09/12/2023,"346.20","348.53","345.61","346.46"
09/11/2023,"346.50","347.85","345.79","346.64"
09/08/2023,"344.87","346.28","344.74","345.77"
09/07/2023,"343.51","345.61","343.51","345.01"
09/06/2023,"346.12","346.12","342.92","344.43"
09/05/2023,"348.43","348.71","346.36","346.42"
09/01/2023,"348.76","349.79","347.21","348.38"
08/31/2023,"349.09","350.70","347.20","347.22"
08/30/2023,"348.48","350.26","348.12","348.90"
08/29/2023,"345.31","348.64","345.31","348.53"
08/28/2023,"344.42","346.53","344.42","345.60"
08/25/2023,"342.17","344.42","340.29","343.47"
08/24/2023,"344.40","346.95","340.94","340.99"
08/23/2023,"343.39","345.35","343.21","344.73"
08/22/2023,"344.94","345.14","342.57","342.89"
08/21/2023,"345.31","345.71","342.48","344.64"
08/18/2023,"343.68","345.87","342.63","345.01"
08/17/2023,"348.30","348.88","344.41","344.75"
08/16/2023,"349.15","351.34","347.57","347.66"
08/15/2023,"352.19","352.19","349.09","349.46"
08/14/2023,"352.74","353.35","351.70","353.08"
08/11/2023,"351.11","353.55","350.60","352.81"
08/10/2023,"352.32","355.79","351.08","351.76"
08/09/2023,"353.24","353.71","350.59","351.23"
08/08/2023,"353.45","353.47","350.07","353.14"
